variable,dataset_name,source_org,raw_file,raw_indicator_name,transform_note,key,sub_source_note
Educational attendance boys 6-8,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance boys 6-8,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance boys 9-11,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance boys 9-11,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance children 12-14,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance children 12-14,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance children 15-17,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance children 15-17,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance children 18-20,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance children 18-20,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance children 21-23,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance children 21-23,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance children 6-8,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance children 6-8,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance children 9-11,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance children 9-11,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance girls 12-14,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance girls 12-14,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance girls 15-17,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance girls 15-17,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance girls 18-20,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance girls 18-20,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance girls 21-23,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance girls 21-23,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance girls 6-8,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance girls 6-8,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Educational attendance girls 9-11,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Educational attendance girls 9-11,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Expected years of schooling at age 6,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Expected years of schooling at age 6,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Expected years of schooling at age 6 boys,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Expected years of schooling at age 6 boys,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Expected years of schooling at age 6 girls,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Expected years of schooling at age 6 girls,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Mean years education of adults aged 20+,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Mean years education of adults aged 20+,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Mean years education of adults aged 20-39,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Mean years education of adults aged 20-39,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Mean years education of adults aged 25+,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Mean years education of adults aged 25+,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Mean years education of adults aged 40-59,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Mean years education of adults aged 40-59,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Mean years education of adults aged 60+,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Mean years education of adults aged 60+,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Mean years education of men aged 20+,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Mean years education of men aged 20+,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Mean years education of men aged 20-39,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Mean years education of men aged 20-39,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Mean years education of men aged 25+,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Mean years education of men aged 25+,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
Mean years education of men aged 40-59,OWID Education and Work,Our World in Data,Ourworldindata/Education and Work Data v2.1.csv,Mean years education of men aged 40-59,Filtered to SSA and National; columns renamed using description_short; wide table aggregates multiple Source of data rows to country-year means.,Numeric-Year,"See raw_long.sub_source for DHS, MICS, and other source labels."
